epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7888,0.32133,4.12168,1.02729,0.43235,0.6629,0.52269,0.50772,0.25016,1.78827,0.39195,0.000301228,0.000301228,0.000301228
2,110.087,0.16649,2.60292,0.86594,0.4154,0.65632,0.53238,0.49753,0.3486,1.72458,0.5059,0.000584289,0.000584289,0.000584289
3,162.963,0.17183,1.88209,0.8664,0.42596,0.6383,0.50208,0.4924,0.21564,1.71775,0.30966,0.000847351,0.000847351,0.000847351
4,210.707,0.14608,1.4241,0.85437,0.6932,0.70767,0.78548,0.7731,0.21484,1.1846,0.30604,0.000819009,0.000819009,0.000819009
5,259.938,0.13492,1.0736,0.83376,0.61218,0.75138,0.79534,0.79147,0.16718,1.27523,0.2662,0.000789012,0.000789012,0.000789012
6,308.289,0.1249,0.92874,0.81942,0.7439,0.80126,0.85398,0.85289,0.17738,1.05343,0.26373,0.000759015,0.000759015,0.000759015
7,357.785,0.11933,0.76798,0.8236,0.30087,0.97093,0.77033,0.76481,0.17286,2.50771,0.30234,0.000729018,0.000729018,0.000729018
8,406.95,0.10656,0.65164,0.82521,0.8378,0.84614,0.92052,0.92024,0.12649,0.77973,0.2154,0.000699021,0.000699021,0.000699021
9,455.141,0.1085,0.62483,0.81372,0.81655,0.8379,0.9219,0.9029,0.22281,0.8282,0.33484,0.000669024,0.000669024,0.000669024
10,504.005,0.09795,0.57287,0.811,0.78512,0.86309,0.88625,0.88625,0.16876,0.83193,0.26696,0.000639027,0.000639027,0.000639027
11,552.913,0.09273,0.48602,0.81335,0.89157,0.84211,0.94718,0.92881,0.20095,0.73266,0.28843,0.00060903,0.00060903,0.00060903
12,601.366,0.08828,0.47935,0.80384,0.80912,0.88834,0.94828,0.94828,0.11737,0.60297,0.20033,0.000579033,0.000579033,0.000579033
13,650.943,0.09329,0.41899,0.81808,0.88319,0.9299,0.9573,0.9573,0.11533,0.5192,0.1903,0.000549036,0.000549036,0.000549036
14,699.274,0.08518,0.42168,0.8061,0.86506,0.88459,0.95709,0.95709,0.12365,0.53085,0.20012,0.000519039,0.000519039,0.000519039
15,748.246,0.07663,0.37459,0.80478,0.92585,0.92656,0.96853,0.96853,0.10519,0.45216,0.17767,0.000489042,0.000489042,0.000489042
16,799.011,0.07398,0.37033,0.80342,0.90523,0.92002,0.9687,0.9687,0.10116,0.42431,0.16115,0.000459045,0.000459045,0.000459045
17,848.933,0.07554,0.33104,0.80858,0.901,0.92588,0.96764,0.96764,0.07686,0.49361,0.14354,0.000429048,0.000429048,0.000429048
18,897.05,0.07126,0.31898,0.80481,0.93059,0.91683,0.97042,0.97042,0.0935,0.43483,0.15606,0.000399051,0.000399051,0.000399051
19,947.662,0.07052,0.29526,0.80637,0.92061,0.9213,0.97193,0.97193,0.08145,0.34778,0.13703,0.000369054,0.000369054,0.000369054
20,996.478,0.06342,0.2676,0.80935,0.93317,0.88417,0.96435,0.96435,0.11195,0.43155,0.16215,0.000339057,0.000339057,0.000339057
21,1047.56,0.06297,0.24799,0.79979,0.94593,0.94584,0.98187,0.98187,0.10564,0.31742,0.15973,0.00030906,0.00030906,0.00030906
22,1097.07,0.05769,0.2177,0.80141,0.94018,0.96017,0.9785,0.97837,0.06904,0.31158,0.12834,0.000279063,0.000279063,0.000279063
23,1146.45,0.05748,0.23401,0.7982,0.95545,0.94349,0.98176,0.98176,0.05878,0.25122,0.11715,0.000249066,0.000249066,0.000249066
24,1194.6,0.0535,0.21412,0.79787,0.957,0.93523,0.98002,0.98002,0.07922,0.27067,0.13065,0.000219069,0.000219069,0.000219069
25,1243.85,0.05252,0.20374,0.79502,0.97657,0.93684,0.98114,0.98114,0.0803,0.24818,0.13038,0.000189072,0.000189072,0.000189072
26,1293.3,0.04796,0.1932,0.79575,0.9599,0.94851,0.98057,0.98057,0.08394,0.25781,0.12813,0.000159075,0.000159075,0.000159075
27,1341.26,0.04644,0.17715,0.79448,0.96235,0.94775,0.9811,0.9811,0.08115,0.27405,0.13391,0.000129078,0.000129078,0.000129078
28,1391.03,0.04331,0.16169,0.79358,0.96838,0.96117,0.98137,0.98137,0.07532,0.24068,0.12287,9.9081e-05,9.9081e-05,9.9081e-05
29,1440.57,0.04119,0.14501,0.79759,0.9628,0.97048,0.98203,0.98203,0.07492,0.24163,0.11988,6.9084e-05,6.9084e-05,6.9084e-05
30,1488.24,0.03754,0.14763,0.7958,0.95084,0.96395,0.98273,0.98273,0.07285,0.27006,0.1189,3.9087e-05,3.9087e-05,3.9087e-05
