epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.181,0.35663,2.00015,0.99304,0.00084,0.10499,0.00019,3e-05,4.64117,11.6059,4.99356,0.00331384,0.00331384,0.0701754
2,115.399,0.32356,1.75087,0.95458,0.00134,0.24604,0.0005,7e-05,3.8749,6.95908,4.09846,0.00642782,0.00642782,0.0399561
3,168.479,0.29076,1.66277,0.94143,0.00988,0.14553,0.00931,0.00465,1.2123,4.69642,1.37752,0.00932179,0.00932179,0.00951673
4,220.859,0.25169,1.64103,0.91768,0.00363,0.97463,0.00533,0.00506,0.20104,4.59864,0.29271,0.00901,0.00901,0.00901
5,273.849,0.23136,1.58467,0.9169,0.19402,0.31974,0.09599,0.08514,0.36027,2.9995,0.58247,0.00868,0.00868,0.00868
6,326.88,0.20624,1.55577,0.90709,0.13106,0.92521,0.17458,0.17159,0.27598,2.15111,0.33409,0.00835,0.00835,0.00835
7,379.656,0.19647,1.53973,0.90565,0.12981,0.91775,0.16157,0.10434,0.46328,2.04822,0.46183,0.00802,0.00802,0.00802
8,432.173,0.18773,1.53511,0.9017,0.10541,0.8689,0.1628,0.16229,0.1793,2.0782,0.28768,0.00769,0.00769,0.00769
9,484.385,0.17507,1.52207,0.90016,0.14073,0.98274,0.18419,0.1819,0.09583,1.67722,0.18771,0.00736,0.00736,0.00736
10,536.288,0.17718,1.51677,0.89539,0.14202,0.9925,0.17019,0.16886,0.20258,1.81231,0.28386,0.00703,0.00703,0.00703
11,588.415,0.16886,1.51212,0.89724,0.09633,0.82266,0.16915,0.16351,0.19115,2.69437,0.26667,0.0067,0.0067,0.0067
12,640.2,0.16753,1.50851,0.89808,0.14278,1,0.1717,0.1717,0.14896,1.68794,0.23392,0.00637,0.00637,0.00637
13,692.787,0.15787,1.50356,0.89461,0.1405,0.98509,0.1697,0.16308,0.16689,1.70785,0.23515,0.00604,0.00604,0.00604
14,744.843,0.14813,1.50214,0.88734,0.14263,1,0.1724,0.17232,0.14484,2.06607,0.18752,0.00571,0.00571,0.00571
15,795.3,0.13822,1.49466,0.88811,0.14222,1,0.17154,0.17108,0.14238,1.5549,0.19972,0.00538,0.00538,0.00538
16,846.468,0.13396,1.49033,0.88766,0.1425,1,0.17345,0.17345,0.11395,1.51619,0.18166,0.00505,0.00505,0.00505
17,898.551,0.13415,1.54023,0.88369,0.14197,1,0.18048,0.17774,0.14947,1.55161,0.20624,0.00472,0.00472,0.00472
18,950.417,0.12889,1.53828,0.8825,0.14269,1,0.18201,0.1819,0.08261,1.61479,0.13097,0.00439,0.00439,0.00439
19,1002.31,0.12651,1.48817,0.8842,0.14236,1,0.181,0.17785,0.10047,1.53081,0.17138,0.00406,0.00406,0.00406
20,1054.05,0.12149,1.48004,0.88573,0.14263,1,0.18348,0.18341,0.13372,1.51858,0.18925,0.00373,0.00373,0.00373
21,1104.11,0.09712,1.576,0.81624,0.14276,1,0.16581,0.16581,0.1582,1.52213,0.22609,0.0034,0.0034,0.0034
22,1150.14,0.09285,1.49956,0.81894,0.14286,1,0.16641,0.1663,0.12984,1.51047,0.19572,0.00307,0.00307,0.00307
23,1197.78,0.07982,1.49598,0.80776,0.14261,1,0.16069,0.16069,0.11285,1.50715,0.17869,0.00274,0.00274,0.00274
24,1244.05,0.06992,1.48363,0.80363,0.14263,1,0.17543,0.17543,0.10891,1.5207,0.16212,0.00241,0.00241,0.00241
25,1291.7,0.06673,1.47231,0.80044,0.14285,0.99982,0.1724,0.1724,0.0878,1.47752,0.15093,0.00208,0.00208,0.00208
26,1338.01,0.05758,1.46886,0.79795,0.14286,1,0.17688,0.17688,0.07306,1.4666,0.11632,0.00175,0.00175,0.00175
27,1385.35,0.05138,1.46852,0.79423,0.14286,1,0.17737,0.17737,0.0694,1.46112,0.11451,0.00142,0.00142,0.00142
28,1432.46,0.04621,1.4598,0.79474,0.14286,1,0.17505,0.17505,0.07661,1.46848,0.12724,0.00109,0.00109,0.00109
29,1479.14,0.04283,1.47189,0.7984,0.1426,1,0.17166,0.17166,0.07213,1.4758,0.11494,0.00076,0.00076,0.00076
30,1526.44,0.03801,1.45584,0.79556,0.14286,1,0.17024,0.17024,0.06267,1.46016,0.10933,0.00043,0.00043,0.00043
