epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.8906,0.56013,2.71911,1.20798,0.37124,0.29827,0.21481,0.19044,0.51319,2.22681,0.8461,0.000301228,0.000301228,0.000301228
2,112.963,0.33233,1.94135,1.01198,0.69065,0.32688,0.37059,0.31459,0.44025,2.09232,0.59681,0.000584289,0.000584289,0.000584289
3,167.536,0.31414,1.69715,0.99244,0.69763,0.3231,0.33843,0.28316,0.5486,3.21633,0.76889,0.000847351,0.000847351,0.000847351
4,222.114,0.30433,1.55848,0.98811,0.50581,0.68341,0.70471,0.67739,0.30258,1.59933,0.49531,0.000819009,0.000819009,0.000819009
5,277.041,0.27021,1.44151,0.96374,0.76124,0.29839,0.50189,0.36745,0.73744,2.24892,0.95599,0.000789012,0.000789012,0.000789012
6,331.453,0.2486,1.35716,0.95428,0.72442,0.81852,0.88567,0.86148,0.31592,1.21315,0.46322,0.000759015,0.000759015,0.000759015
7,386.237,0.23869,1.29134,0.94692,0.75626,0.65929,0.73298,0.6971,0.33929,1.56772,0.4786,0.000729018,0.000729018,0.000729018
8,441.181,0.22143,1.2377,0.94004,0.82482,0.81398,0.86758,0.8425,0.33798,1.05726,0.45078,0.000699021,0.000699021,0.000699021
9,495.989,0.2174,1.20089,0.93789,0.8278,0.83457,0.92261,0.92177,0.17999,0.80478,0.32257,0.000669024,0.000669024,0.000669024
10,549.487,0.20961,1.18676,0.93378,0.83294,0.84744,0.90162,0.86211,0.34226,0.92418,0.50531,0.000639027,0.000639027,0.000639027
11,603.066,0.20232,1.1482,0.93035,0.85573,0.89653,0.94579,0.9298,0.23452,0.81231,0.36525,0.00060903,0.00060903,0.00060903
12,656.576,0.20107,1.13812,0.93114,0.87,0.8998,0.94681,0.92219,0.28579,0.70548,0.42187,0.000579033,0.000579033,0.000579033
13,710.398,0.19314,1.11316,0.92737,0.82778,0.87854,0.93663,0.91279,0.25898,0.90742,0.39152,0.000549036,0.000549036,0.000549036
14,763.775,0.18832,1.08258,0.923,0.77011,0.82671,0.85414,0.80532,0.31009,1.0566,0.41467,0.000519039,0.000519039,0.000519039
15,817.241,0.18353,1.05899,0.92294,0.90545,0.92739,0.95394,0.94824,0.16631,0.64434,0.30298,0.000489042,0.000489042,0.000489042
16,870.766,0.1775,1.04175,0.92179,0.92494,0.89639,0.95175,0.94515,0.22068,0.55387,0.36687,0.000459045,0.000459045,0.000459045
17,924.574,0.19106,1.05114,0.9225,0.94843,0.94139,0.97676,0.97364,0.16011,0.4118,0.28744,0.000429048,0.000429048,0.000429048
18,978.816,0.17463,1.03444,0.91626,0.92962,0.9298,0.97191,0.96656,0.1828,0.52229,0.31758,0.000399051,0.000399051,0.000399051
19,1032.93,0.16694,0.99761,0.91628,0.94375,0.92847,0.95962,0.95426,0.24545,0.49338,0.38897,0.000369054,0.000369054,0.000369054
20,1086.69,0.16259,0.98652,0.91117,0.95737,0.93448,0.98041,0.98021,0.15982,0.36081,0.27117,0.000339057,0.000339057,0.000339057
21,1139.68,0.24748,0.70343,0.97466,0.96701,0.93751,0.98092,0.97059,0.20141,0.42316,0.30036,0.00030906,0.00030906,0.00030906
22,1189.75,0.21297,0.58551,0.95576,0.91328,0.94341,0.97486,0.96868,0.17472,0.48704,0.27803,0.000279063,0.000279063,0.000279063
23,1239.91,0.20343,0.55422,0.94201,0.96459,0.94799,0.97822,0.97797,0.13723,0.30797,0.23599,0.000249066,0.000249066,0.000249066
24,1288.02,0.17815,0.51552,0.92137,0.9508,0.96013,0.98106,0.98069,0.13843,0.35216,0.20751,0.000219069,0.000219069,0.000219069
25,1337.28,0.19039,0.49838,0.93471,0.95814,0.95053,0.96894,0.96767,0.18508,0.45385,0.26571,0.000189072,0.000189072,0.000189072
26,1386.3,0.16204,0.44466,0.91868,0.95895,0.97209,0.97444,0.97444,0.12103,0.33862,0.19066,0.000159075,0.000159075,0.000159075
27,1433.7,0.15315,0.42124,0.90667,0.96421,0.95958,0.97877,0.97877,0.1014,0.30306,0.15901,0.000129078,0.000129078,0.000129078
28,1482.66,0.1488,0.3891,0.89835,0.94336,0.97196,0.97967,0.97967,0.07867,0.25784,0.14051,9.9081e-05,9.9081e-05,9.9081e-05
29,1532.15,0.14173,0.39632,0.90111,0.97223,0.95935,0.97959,0.97959,0.10223,0.24766,0.16495,6.9084e-05,6.9084e-05,6.9084e-05
30,1580.37,0.14224,0.39052,0.90095,0.95172,0.98373,0.98163,0.98163,0.08728,0.22851,0.14641,3.9087e-05,3.9087e-05,3.9087e-05
