epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.1214,0.38478,2.68717,1.1232,0.32896,0.52733,0.34544,0.24022,0.97429,1.92979,1.69097,0.000302111,0.000302111,0.000302111
2,178.908,0.22007,1.92806,0.95938,0.38056,0.36441,0.43252,0.34546,0.64107,2.04453,1.32933,0.000585143,0.000585143,0.000585143
3,264.15,0.21146,1.65456,0.94322,0.64551,0.49206,0.52014,0.40599,0.66758,2.06117,1.1358,0.000848176,0.000848176,0.000848176
4,346.952,0.18927,1.56121,0.9221,0.74728,0.44353,0.55696,0.51787,0.36286,1.9834,0.73685,0.000819009,0.000819009,0.000819009
5,428.693,0.17462,1.37009,0.90759,0.7184,0.78418,0.84597,0.84498,0.22501,1.1775,0.44153,0.000789012,0.000789012,0.000789012
6,511.013,0.16104,1.31214,0.90519,0.89385,0.42725,0.60281,0.55819,0.37472,2.33241,0.65761,0.000759015,0.000759015,0.000759015
7,593.152,0.15916,1.25214,0.90415,0.77449,0.793,0.89243,0.89158,0.20066,0.98187,0.38434,0.000729018,0.000729018,0.000729018
8,674.324,0.15407,1.2111,0.90383,0.71479,0.78361,0.83119,0.79727,0.33009,1.12066,0.65749,0.000699021,0.000699021,0.000699021
9,755.899,0.14525,1.16994,0.89671,0.8644,0.84089,0.89438,0.89086,0.23757,1.00044,0.48728,0.000669024,0.000669024,0.000669024
10,836.676,0.14095,1.13145,0.89628,0.82921,0.8453,0.92218,0.91954,0.23954,0.86963,0.45836,0.000639027,0.000639027,0.000639027
11,917.756,0.13169,1.10894,0.89718,0.80887,0.83181,0.8697,0.8697,0.1978,0.88635,0.40754,0.00060903,0.00060903,0.00060903
12,998.636,0.13099,1.09336,0.89452,0.85235,0.85179,0.92388,0.86574,0.30751,1.00573,0.54606,0.000579033,0.000579033,0.000579033
13,1078.81,0.12883,1.05441,0.89188,0.85829,0.87252,0.93733,0.93584,0.2106,0.74692,0.43168,0.000549036,0.000549036,0.000549036
14,1161.09,0.12899,1.03542,0.88992,0.89109,0.88168,0.94753,0.93948,0.25642,0.69992,0.53097,0.000519039,0.000519039,0.000519039
15,1242.87,0.12445,1.01714,0.88979,0.89468,0.90241,0.95337,0.95315,0.19364,0.57763,0.39948,0.000489042,0.000489042,0.000489042
16,1323.64,0.12108,1.01002,0.88874,0.90018,0.94704,0.9573,0.95404,0.20508,0.80362,0.44239,0.000459045,0.000459045,0.000459045
17,1407.91,0.12196,0.97912,0.88774,0.93547,0.94389,0.97383,0.97303,0.24193,0.47596,0.48348,0.000429048,0.000429048,0.000429048
18,1490.63,0.11234,0.93785,0.88505,0.89392,0.9233,0.95799,0.95799,0.19934,0.6392,0.39488,0.000399051,0.000399051,0.000399051
19,1572.48,0.11424,0.94311,0.88599,0.9161,0.89808,0.96105,0.96026,0.19309,0.54287,0.38219,0.000369054,0.000369054,0.000369054
20,1653.36,0.11122,0.92812,0.88793,0.919,0.94163,0.96343,0.96236,0.19837,0.55308,0.38745,0.000339057,0.000339057,0.000339057
21,1731.14,0.08939,0.40367,0.82581,0.88939,0.90371,0.96964,0.9592,0.23986,0.56616,0.50488,0.00030906,0.00030906,0.00030906
22,1806.83,0.08197,0.31586,0.82926,0.93356,0.95298,0.97592,0.97592,0.20305,0.44895,0.41724,0.000279063,0.000279063,0.000279063
23,1882.16,0.07796,0.27556,0.81797,0.935,0.92081,0.97334,0.97334,0.21055,0.48044,0.40483,0.000249066,0.000249066,0.000249066
24,1956.08,0.06812,0.25344,0.81336,0.96794,0.91687,0.97797,0.97797,0.17234,0.39178,0.33354,0.000219069,0.000219069,0.000219069
25,2031.17,0.06719,0.26834,0.81329,0.94275,0.95311,0.97986,0.97986,0.19451,0.42274,0.3736,0.000189072,0.000189072,0.000189072
26,2106.87,0.05906,0.21717,0.80712,0.94806,0.94591,0.97882,0.97882,0.17594,0.40607,0.33789,0.000159075,0.000159075,0.000159075
27,2181.66,0.05823,0.20989,0.80715,0.95944,0.9344,0.98101,0.98101,0.17432,0.39469,0.34166,0.000129078,0.000129078,0.000129078
28,2257.36,0.05015,0.1724,0.79579,0.9554,0.95792,0.98145,0.98145,0.16068,0.37542,0.31989,9.9081e-05,9.9081e-05,9.9081e-05
29,2334.19,0.04667,0.1713,0.80312,0.96027,0.96612,0.98408,0.98408,0.16508,0.34263,0.32504,6.9084e-05,6.9084e-05,6.9084e-05
30,2409.41,0.04326,0.16108,0.79795,0.98371,0.92842,0.98384,0.98384,0.16626,0.36558,0.31293,3.9087e-05,3.9087e-05,3.9087e-05
