epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.4454,0.29577,2.6255,1.00743,0.28342,0.47147,0.34499,0.307,0.36731,2.0195,0.49544,0.000301228,0.000301228,0.000301228
2,113.449,0.20169,1.85909,0.91688,0.43315,0.64816,0.61227,0.54787,0.48427,1.74034,0.62822,0.000584289,0.000584289,0.000584289
3,165.726,0.19604,1.53836,0.9139,0.52604,0.54973,0.48481,0.40055,0.46569,2.33621,0.67752,0.000847351,0.000847351,0.000847351
4,217.253,0.1848,1.46327,0.90345,0.66653,0.744,0.77535,0.69989,0.41111,1.40844,0.57283,0.000819009,0.000819009,0.000819009
5,270.637,0.17956,1.30275,0.90786,0.81636,0.70452,0.83704,0.83663,0.20393,1.5583,0.30607,0.000789012,0.000789012,0.000789012
6,325.502,0.16311,1.22756,0.90099,0.83201,0.70855,0.88574,0.87959,0.31531,1.16683,0.41194,0.000759015,0.000759015,0.000759015
7,380.489,0.15479,1.16505,0.89813,0.84522,0.82895,0.88841,0.886,0.23087,0.89437,0.36928,0.000729018,0.000729018,0.000729018
8,435.099,0.14663,1.11723,0.89495,0.79885,0.87683,0.90628,0.86517,0.25821,0.82694,0.38781,0.000699021,0.000699021,0.000699021
9,490.081,0.14489,1.09007,0.89447,0.90543,0.8671,0.93683,0.93302,0.24458,0.70301,0.34056,0.000669024,0.000669024,0.000669024
10,544.903,0.14038,1.05364,0.88947,0.90713,0.8753,0.95125,0.95125,0.17292,0.64503,0.25877,0.000639027,0.000639027,0.000639027
11,598.777,0.135,1.02611,0.89127,0.88589,0.92317,0.96456,0.96456,0.19982,0.62001,0.30255,0.00060903,0.00060903,0.00060903
12,653.635,0.13304,1.00292,0.88959,0.86477,0.90072,0.9606,0.95938,0.22128,0.60768,0.31374,0.000579033,0.000579033,0.000579033
13,708.363,0.12994,0.99368,0.88951,0.91587,0.93237,0.96644,0.96476,0.11917,0.78171,0.20085,0.000549036,0.000549036,0.000549036
14,763.406,0.12647,0.96069,0.88492,0.88616,0.92194,0.96069,0.95937,0.13686,0.6094,0.20975,0.000519039,0.000519039,0.000519039
15,818.558,0.12103,0.94242,0.88703,0.91367,0.9703,0.97153,0.96905,0.19275,0.68636,0.29226,0.000489042,0.000489042,0.000489042
16,873.037,0.11805,0.9273,0.88643,0.91572,0.96011,0.97853,0.97826,0.15529,0.45241,0.2332,0.000459045,0.000459045,0.000459045
17,925.814,0.11797,0.93293,0.88356,0.93161,0.96061,0.98092,0.98092,0.15079,0.44771,0.21794,0.000429048,0.000429048,0.000429048
18,980.021,0.1114,0.93333,0.88076,0.9423,0.95723,0.98523,0.97982,0.18302,0.40752,0.27324,0.000399051,0.000399051,0.000399051
19,1032.86,0.11305,0.87928,0.88319,0.94622,0.94054,0.97827,0.97827,0.17952,0.42976,0.25886,0.000369054,0.000369054,0.000369054
20,1086.46,0.11023,0.85364,0.88512,0.91969,0.96032,0.98376,0.98376,0.12674,0.36656,0.1858,0.000339057,0.000339057,0.000339057
21,1139.24,0.0857,0.36111,0.81104,0.90107,0.92179,0.97308,0.97308,0.08021,0.46662,0.13789,0.00030906,0.00030906,0.00030906
22,1188.69,0.08041,0.28657,0.81142,0.91135,0.95768,0.97595,0.97595,0.13311,0.40098,0.1949,0.000279063,0.000279063,0.000279063
23,1236.89,0.07061,0.26637,0.80373,0.95123,0.9242,0.98177,0.98177,0.09121,0.31291,0.14269,0.000249066,0.000249066,0.000249066
24,1286.43,0.06637,0.24667,0.80244,0.96995,0.93104,0.9827,0.9827,0.08777,0.29932,0.13839,0.000219069,0.000219069,0.000219069
25,1336.96,0.06171,0.22874,0.79908,0.97292,0.94467,0.98699,0.98699,0.09319,0.25212,0.13468,0.000189072,0.000189072,0.000189072
26,1385.55,0.0546,0.18928,0.79744,0.95852,0.94504,0.98548,0.98548,0.07965,0.27483,0.12593,0.000159075,0.000159075,0.000159075
27,1434.94,0.04919,0.18021,0.7951,0.95649,0.96028,0.98314,0.98314,0.10309,0.28933,0.15388,0.000129078,0.000129078,0.000129078
28,1484.07,0.0471,0.15712,0.795,0.95345,0.96519,0.9855,0.9855,0.07535,0.2628,0.11914,9.9081e-05,9.9081e-05,9.9081e-05
29,1532.4,0.04522,0.15087,0.799,0.95018,0.98157,0.98686,0.98686,0.07022,0.2009,0.11673,6.9084e-05,6.9084e-05,6.9084e-05
30,1581.65,0.04009,0.14254,0.79664,0.96199,0.96256,0.98692,0.98692,0.07086,0.19523,0.11221,3.9087e-05,3.9087e-05,3.9087e-05
