epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.6496,0.44712,2.22379,1.11727,0.43041,0.54356,0.42115,0.37922,0.38912,2.3256,0.57067,0.000301228,0.000301228,0.000301228
2,198.988,0.37976,1.65134,1.03207,0.19936,0.44262,0.21876,0.11791,1.17045,4.83104,1.29024,0.000598246,0.000598246,0.000598246
3,294.77,0.37858,1.61597,1.03417,0.25695,0.49855,0.36519,0.33308,0.4503,2.16136,0.58995,0.000889265,0.000889265,0.000889265
4,389.594,0.37552,1.59787,1.02669,0.27366,0.57899,0.39893,0.38115,0.28348,1.62871,0.422,0.000882003,0.000882003,0.000882003
5,489.03,0.31389,1.50463,0.9884,0.41263,0.69532,0.56414,0.50194,0.42247,1.47418,0.53346,0.000873004,0.000873004,0.000873004
6,594.821,0.2922,1.44796,0.97565,0.36161,0.54799,0.42389,0.32934,0.63637,1.80725,0.82324,0.000864004,0.000864004,0.000864004
7,690.718,0.2697,1.41467,0.96233,0.48982,0.64122,0.51901,0.49319,0.29721,1.64833,0.41115,0.000855005,0.000855005,0.000855005
8,787.644,0.26444,1.39615,0.95839,0.44309,0.80407,0.64114,0.62735,0.28771,1.27806,0.33612,0.000846006,0.000846006,0.000846006
9,888.154,0.25458,1.3715,0.95923,0.58445,0.76011,0.69827,0.68324,0.30942,1.16759,0.38631,0.000837007,0.000837007,0.000837007
10,984.359,0.24726,1.35631,0.94694,0.5272,0.71605,0.68879,0.6552,0.35273,1.24237,0.48561,0.000828008,0.000828008,0.000828008
11,1083.76,0.22903,1.33749,0.9407,0.58073,0.79088,0.76408,0.74309,0.28679,0.92044,0.37602,0.000819009,0.000819009,0.000819009
12,1185.74,0.2247,1.28458,0.94116,0.57556,0.78375,0.74485,0.74021,0.25552,1.06522,0.37426,0.00081001,0.00081001,0.00081001
13,1286.52,0.22141,1.27963,0.94055,0.5825,0.82005,0.80862,0.77381,0.35622,1.07655,0.46677,0.000801011,0.000801011,0.000801011
14,1391.16,0.21344,1.29312,0.92538,0.72605,0.78267,0.83239,0.81846,0.28264,0.85723,0.39651,0.000792012,0.000792012,0.000792012
15,1496.86,0.19702,1.23112,0.92403,0.81481,0.84295,0.88679,0.87218,0.29633,0.74623,0.41348,0.000783013,0.000783013,0.000783013
16,1593.47,0.21929,1.22722,0.93909,0.77436,0.73991,0.83457,0.81069,0.31807,1.30917,0.39776,0.000774013,0.000774013,0.000774013
17,1688.78,0.21094,1.19602,0.93278,0.81647,0.83787,0.91696,0.90736,0.26126,0.73687,0.35633,0.000765014,0.000765014,0.000765014
18,1789.02,0.20482,1.16625,0.92938,0.84647,0.7592,0.83049,0.82121,0.22271,1.03185,0.32645,0.000756015,0.000756015,0.000756015
19,1887.21,0.2027,1.16739,0.92655,0.6726,0.75325,0.74469,0.6442,0.20917,1.19567,0.3199,0.000747016,0.000747016,0.000747016
